idx	X	Y	component
179	7111.373073577295	37820.42657398032	0
180	7111.365362994926	37820.42165335254	0
181	7112.397236310364	37820.26969737044	0
182	7111.373829063486	37820.42665766164	0
183	7112.408045187327	37820.3177294237	0
184	7112.407918341552	37820.31771209675	0
185	7120.738349724867	37820.99608654626	0
186	7120.778957133287	37820.98773673699	0
187	7121.758244222361	37820.88893711384	0
188	7120.738563399216	37820.99612962314	0
189	7121.764783483715	37820.89811583702	0
190	7121.765371514004	37820.89812903406	0
191	7136.244321647944	37822.08719280777	0
192	7136.244756258111	37822.08659638665	0
193	7137.218431211724	37822.53129416479	0
194	7136.244690377058	37822.08716212257	0
195	7137.199934432101	37822.53734324858	0
196	7137.200059200586	37822.53728565085	0
197	7282.215840203571	37849.95523813567	0
198	7282.214922386749	37849.95549545996	0
199	7284.015955054118	37850.90961570342	0
200	7282.215935640423	37849.9552405345	0
201	7284.016193734515	37850.9144493362	0
202	7284.016966297353	37850.91462556187	0
203	7287.279093989862	37853.56673310631	0
204	7287.278080011569	37853.5673908043	0
205	7288.291801018117	37853.67123718033	0
206	7287.279261484509	37853.56680662352	0
207	7288.292854331066	37853.67354021558	0
208	7288.292891927504	37853.67356653156	0
209	7592.899737561926	38006.83861550438	0
210	7592.899766211875	38006.83863486611	0
211	7593.887349332472	38007.14809730168	0
212	7592.89958542028	38006.8384594003	0
213	7593.854958333577	38007.13003877358	0
214	7593.855024697834	38007.13006053492	0
215	7610.170728993209	38015.58220075071	0
216	7610.171471018813	38015.57962842876	0
217	7609.84218058905	38016.83642049747	0
218	7610.159031696159	38015.60925245345	0
219	7609.887666144721	38016.79612614481	0
220	7609.887657046198	38016.79612278444	0
221	7783.686342154702	38091.7190580712	0
222	7783.666466730301	38091.72066051141	0
223	7784.621524432914	38092.14357469352	0
224	7783.686327171516	38091.71904572038	0
225	7784.641740390602	38092.12320098825	0
226	7784.621950989338	38092.14349131136	0
227	7826.753442868052	38095.37929093691	0
228	7826.740077241157	38095.38182915102	0
229	7827.787064932265	38095.24586485612	0
230	7826.754201280473	38095.37931466955	0
231	7827.788333939756	38095.24593482252	0
232	7827.788449856569	38095.2459381378	0
233	7833.066165956952	38095.41503648479	0
234	7833.066749256643	38095.41521556361	0
235	7834.022422162419	38095.20593588979	0
236	7833.066388674444	38095.41508121846	0
237	7834.052018477549	38095.22195911901	0
238	7834.052293757301	38095.22203153126	0
