idx	X	Y	component
214	7656.082691271913	44614.06155095377	0
215	7674.203629739284	44618.59910423035	0
216	7674.203705874563	44618.59926975484	0
217	7674.913617398473	44619.29561100034	0
218	7674.203595586325	44618.59911360932	0
219	7674.916777853177	44619.29569218645	0
220	7674.916730332152	44619.29564261378	0
221	7863.993619941961	44633.57405062959	0
222	7863.99509397443	44633.57365408318	0
223	7864.785474683165	44633.34272846665	0
224	7863.970633988421	44633.57739334164	0
225	7864.804997003761	44633.35415891602	0
226	7864.807106900364	44633.3541029078	0
227	7907.553889652911	44633.41253669783	0
228	7907.542594275503	44633.40944033879	0
229	7908.394755560395	44633.79821362613	0
230	7907.554308357227	44633.41261397141	0
231	7908.453780120755	44633.8499191673	0
232	7908.454140990849	44633.84996587095	0
233	7913.626888845873	44634.71948838048	0
234	7913.626161813008	44634.71874442512	0
235	7914.59457619991	44635.05121012171	0
236	7913.626738050247	44634.71946037777	0
237	7914.594208306356	44635.05136174757	0
238	7914.594301076984	44635.05143529271	0
239	7936.586076887615	44640.83268977952	0
240	7936.585983746176	44640.83269833598	0
241	7938.295670742104	44641.97263874373	0
242	7936.627141739249	44640.80662438622	0
243	7938.291785174173	44641.97373490537	0
244	7938.29577273444	44641.97271096224	0
245	7938.978240892488	44642.70647179493	0
246	7938.943704149955	44642.72962944965	0
247	7939.783980756678	44643.35358443408	0
248	7938.978075122417	44642.70653693616	0
249	7939.78555112207	44643.35404629835	0
250	7939.784025633606	44643.3535516362	0
251	7944.512387756084	44647.41043740953	0
252	7944.512354508573	44647.4103591065	0
253	7945.336784820109	44647.99277141171	0
254	7944.502373517258	44647.40809104977	0
255	7945.326840504589	44647.9969423052	0
256	7945.336847027487	44647.9927712585	0
257	7946.154737153825	44648.63157907913	0
258	7946.154790085166	44648.6310141177	0
259	7946.456904245824	44649.56164257	0
260	7946.154930879136	44648.6319142202	0
261	7946.461774848052	44649.56386190039	0
262	7946.46183847027	44649.56390591167	0
263	8697.085959027783	45169.78152126411	0
264	8697.087402928009	45169.7800723706	0
265	8697.871434202214	45169.35339439583	0
266	8697.08637695889	45169.78131849661	0
267	8697.882348815256	45169.36644404906	0
268	8697.882753205478	45169.36645794474	0
269	8946.012829813459	45247.58178232651	0
270	8946.013327416666	45247.57898714213	0
271	8945.844422498783	45247.02370394823	0
272	8946.012898791676	45247.58093524133	0
273	8946.007840600898	45246.9933660653	0
274	8946.009600717451	45246.98311225887	0
275	9187.332477428674	45359.24043982466	0
276	9187.334221611469	45359.2419490129	0
277	9188.285532884809	45359.57695381643	0
278	9187.332147392364	45359.24039712249	0
279	9188.285594070905	45359.57654774068	0
280	9188.285332053107	45359.57639379008	0
281	9235.160926473924	45393.92326136112	0
282	9235.158931909842	45393.91858804243	0
283	9235.8001667512	45394.79606910535	0
284	9235.160623135533	45393.92295067984	0
285	9235.804687945718	45394.79114202452	0
286	9235.805349415175	45394.79150333918	0
287	9239.732255508257	45398.15325308556	0
288	9239.728284587305	45398.15257327763	0
289	9240.5375990467	45398.83418545587	0
290	9239.732294103145	45398.15331375763	0
291	9240.556437078965	45398.81262897763	0
292	9240.556466753922	45398.81271246551	0
293	9251.678411925059	45404.29538109756	0
294	9251.678106138061	45404.29548157153	0
295	9252.527196072813	45404.82195673515	0
296	9251.682950050264	45404.29518877315	0
297	9252.563717309953	45404.79469916189	0
298	9252.527889837402	45404.82202564658	0
299	9291.467799987433	45419.75014506399	0
300	9291.465794485273	45419.75038753792	0
301	9292.147343890356	45419.18290971096	0
302	9291.467799986465	45419.75014506376	0
303	9292.352948070431	45419.35541353239	0
304	9292.353453667696	45419.35546104439	0
305	9370.77144506132	45457.0919095681	0
306	9370.781600636168	45457.11571301544	0
307	9371.087488911959	45456.329572028	0
308	9370.771919844934	45457.09188924475	0
309	9371.185037080984	45456.31535959952	0
310	9371.184402018444	45456.31430000189	0
311	9479.70090022769	45486.40460473316	0
312	9479.663241680209	45486.56353446978	0
313	9480.68508227139	45486.29540359988	0
314	9479.700039421856	45486.40448613864	0
